taxon_family_name,count
Oxalidaceae,429
Asteraceae,429
Boraginaceae,411
Cupressaceae,364
Violaceae,325
Fagaceae,267
Ericaceae,265
Lauraceae,262
Melanthiaceae,236
Primulaceae,224
Papaveraceae,221
Iridaceae,202
Rosaceae,175
Dryopteridaceae,174
Brassicaceae,169
Liliaceae,168
Dennstaedtiaceae,168
Fabaceae,160
Onagraceae,151
Lamiaceae,151
Apiaceae,137
Anacardiaceae,132
Plantaginaceae,128
Montiaceae,109
Poaceae,102
Geraniaceae,93
Orchidaceae,86
Caprifoliaceae,66
Asparagaceae,64
Phrymaceae,55
Pinaceae,52
Betulaceae,46
